"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,0,0,0,0,0,68,5
15,2,0,0,0,4,0,43
0,60,0,0,0,0,0,0
0,12,0,0,0,45,0,0
0,0,42,0,46,9,0,0
0,0,0,0,0,0,0,48
38,0,13,3,22,0,0,0
27,43,0,0,0,0,0,0
0,0,45,0,51,0,0,0
0,0,0,4,0,0,41,21
0,0,0,0,0,6,0,49
28,33,14,0,6,0,0,0
0,0,0,0,0,0,0,54
0,0,0,0,0,54,0,0
0,0,0,0,0,0,48,4
0,69,0,0,0,0,0,0
0,14,38,0,20,0,0,2
0,61,0,0,0,0,0,0
0,0,51,0,0,0,0,0
0,62,0,0,0,0,0,0
6,0,0,0,12,36,0,5
28,0,32,0,0,0,0,0
0,0,0,56,23,0,0,0
16,0,40,0,11,0,0,0
2,0,49,0,51,0,0,0
0,9,0,52,0,0,0,0
0,6,0,0,0,0,0,47
0,0,0,54,0,0,5,0
75,0,0,0,0,0,0,0
0,16,0,0,70,9,0,2
36,4,12,0,13,0,0,0
0,0,0,10,0,46,0,1
0,0,0,0,0,59,0,0
0,0,0,0,0,26,0,21
0,0,54,0,0,0,0,0
4,0,21,45,0,0,0,0
0,0,0,0,74,0,34,0
0,0,0,0,0,7,33,18
6,25,28,0,0,0,0,0
14,0,0,0,0,0,40,0
0,0,34,0,59,0,0,0
0,0,0,0,0,51,0,0
54,0,0,0,0,0,0,0
1,0,49,0,0,0,12,0
0,0,52,0,0,0,0,0
0,0,38,31,0,0,0,0
4,0,0,58,0,0,0,0
0,57,0,0,0,0,0,0
5,36,0,12,0,1,0,4
0,0,0,0,0,62,0,0
7,0,0,0,22,0,51,0
0,6,0,35,25,0,0,5
0,0,0,0,0,0,52,0
0,55,0,0,0,0,0,0
0,20,28,0,0,0,0,0
10,0,0,5,0,30,0,0
6,0,33,0,0,7,0,0
0,0,0,21,0,10,27,1
0,0,0,5,22,31,0,3
6,0,0,51,13,0,0,0
0,22,0,0,0,0,0,22
0,14,0,13,0,23,0,3
0,0,0,0,0,0,36,15
0,63,0,0,0,0,0,0
0,0,0,59,0,0,0,0
0,0,62,0,0,0,0,0
0,0,59,7,0,0,0,0
0,0,0,63,0,0,0,0
0,52,0,0,0,0,0,0
0,0,32,22,0,0,0,0
0,0,52,0,0,0,0,0
0,0,0,0,0,42,0,0
5,41,0,4,0,0,0,0
0,0,14,0,46,0,18,0
50,0,0,0,0,0,0,0
0,0,0,46,0,12,0,0
50,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
1,0,54,0,0,0,0,0
0,12,0,49,0,0,0,0
0,0,0,0,0,0,0,55
46,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
37,4,12,0,9,0,0,0
11,42,0,0,0,0,0,0
0,0,0,8,0,0,52,0
0,0,0,0,0,43,0,0
19,0,0,37,0,0,0,0
9,0,0,0,64,0,21,0
0,0,35,0,44,1,0,0
0,0,22,0,0,24,0,0
0,0,0,0,0,0,0,48
8,14,0,28,0,0,0,3
44,0,0,0,0,0,0,0
0,0,0,0,0,0,48,0
50,0,0,0,17,0,0,0
4,0,28,0,0,0,25,0
48,0,0,0,0,0,0,0
0,35,0,0,0,0,0,12
0,0,0,0,0,40,0,0
42,0,0,0,0,0,0,0
0,37,0,0,0,0,0,0
0,52,0,0,0,0,0,0
0,0,0,0,0,40,0,0
0,0,0,0,0,0,57,0
0,50,0,0,0,0,0,0
0,0,0,0,0,0,49,0
0,0,47,0,0,0,0,0
0,0,16,0,0,0,38,0
0,0,0,19,0,0,30,0
56,0,0,0,0,0,0,0
6,0,41,0,0,0,0,0
8,0,0,0,0,16,0,21
0,0,0,0,0,7,16,22
23,5,16,0,14,0,0,0
0,0,0,0,0,0,47,0
14,0,18,0,49,0,0,0
3,0,0,46,0,0,0,0
0,0,0,50,0,0,0,0
0,0,0,0,0,0,45,0
11,0,23,0,0,0,0,0
13,35,0,0,0,4,0,4
0,0,0,52,0,0,0,0
0,0,0,0,0,0,34,5
15,0,0,0,0,10,0,8
22,0,22,0,12,0,0,0
0,0,0,0,0,39,0,0
19,0,0,19,0,0,0,0
0,0,0,0,0,4,49,0
0,0,0,0,0,0,0,27
43,0,0,0,0,0,0,0
7,0,41,0,0,0,0,0
0,0,42,0,0,0,0,0
0,0,0,0,0,0,19,28
11,32,0,0,0,0,0,0
0,0,33,0,0,0,0,1
9,28,0,0,0,0,0,0
0,42,0,0,0,0,0,0
0,1,39,0,0,0,0,0
0,0,34,8,0,0,0,0
0,0,0,0,23,31,0,0
0,0,0,0,0,22,0,13
0,0,0,0,0,0,45,0
0,0,48,0,0,0,0,0
0,0,0,0,0,0,51,0
28,0,0,0,0,9,0,0
0,7,27,0,0,1,0,1
0,37,0,0,0,0,0,0
0,0,39,5,0,0,0,0
0,0,0,25,32,8,0,0
37,0,0,0,0,0,0,0
0,34,0,14,0,0,0,0
0,0,0,0,0,0,0,41
0,0,0,0,0,37,0,4
0,0,0,0,0,0,47,2
0,52,0,0,0,0,0,0
28,0,0,17,0,0,0,0
16,0,0,0,0,0,0,18
0,0,0,0,0,33,0,0
41,0,0,0,0,0,0,0
21,0,0,0,0,0,20,0
0,6,0,0,0,24,0,9
0,0,0,0,0,0,0,27
0,40,0,0,0,0,0,0
0,33,0,12,0,0,0,0
0,5,40,0,0,0,0,0
0,0,43,0,0,0,0,0
41,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
7,0,12,0,69,0,0,0
2,34,0,0,0,0,0,0
0,39,0,0,0,0,0,0
0,0,0,46,0,0,0,0
0,0,0,6,0,0,0,22
0,0,0,0,0,0,36,0
17,11,0,16,0,1,0,0
0,45,0,0,0,0,0,0
0,0,39,0,0,0,0,0
0,0,37,0,0,4,0,0
0,36,0,0,0,0,0,0
0,0,31,10,8,0,0,0
19,20,0,0,0,0,0,0
31,0,0,0,11,0,0,0
0,0,45,0,0,0,0,0
0,0,42,0,0,0,0,0
0,0,0,0,0,0,41,0
0,0,0,0,0,0,0,38
0,27,0,24,0,0,0,0
0,0,39,0,0,0,0,0
0,0,0,0,0,39,0,0
0,0,0,0,0,0,0,33
50,0,0,0,0,0,0,0
0,0,41,0,0,0,0,0
0,31,0,0,0,0,0,0
0,41,0,0,0,0,0,0
0,5,0,43,0,0,0,0
0,0,40,5,0,0,0,0
0,0,0,0,0,0,41,0
14,0,0,0,9,0,20,0
0,25,0,0,0,8,0,4
0,0,41,0,0,0,0,0
0,38,0,0,0,0,0,0
0,0,0,0,0,0,0,24
0,40,0,0,0,0,0,0
0,38,0,0,0,0,0,0
0,0,41,0,0,0,0,0
0,0,32,0,0,0,0,0
8,0,21,7,0,1,0,0
0,39,0,0,0,0,0,0
0,0,36,0,0,0,0,0
0,0,40,0,0,0,0,0
0,0,0,6,0,0,33,0
0,0,0,0,36,18,0,4
0,0,0,0,0,38,0,0
6,11,0,0,0,0,13,0
7,0,13,0,0,0,14,0
19,15,0,0,0,0,0,0
0,33,0,0,0,0,0,0
0,0,0,0,0,37,0,0
38,0,0,0,0,0,0,0
16,0,14,0,18,0,0,0
4,4,0,17,0,7,0,0
0,29,0,0,0,0,0,0
0,0,26,0,0,0,0,0
0,9,0,0,0,0,25,0
0,0,38,0,0,0,0,0
0,0,34,0,0,0,0,0
0,0,14,0,0,0,14,0
0,0,30,0,0,0,0,0
0,0,0,0,0,32,0,0
0,0,0,0,0,0,0,30
24,0,0,17,0,0,0,2
38,0,0,0,0,0,0,0
0,0,44,0,0,0,0,0
0,0,0,7,27,0,9,0
0,0,0,0,0,0,33,0
17,16,0,0,0,5,0,0
30,0,0,0,0,0,0,0
0,0,44,0,0,0,0,0
0,0,34,0,0,0,0,0
0,0,0,13,0,5,0,11
0,0,0,0,0,30,0,0
0,0,0,0,0,0,43,0
3,6,0,0,37,0,15,0
0,6,0,4,0,0,22,0
0,0,34,0,0,0,0,5
0,0,37,0,0,0,0,0
0,0,42,0,0,0,0,0
0,0,0,0,0,21,0,0
0,0,30,0,0,0,0,0
0,0,36,0,0,0,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,0,0,37
24,0,0,7,0,0,0,0
3,32,0,4,0,0,0,0
0,0,38,0,0,0,0,0
0,0,25,0,0,0,0,8
0,0,0,3,0,11,19,0
0,0,0,0,0,30,0,0
0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,33
2,0,0,0,0,0,31,0
0,39,0,0,0,0,0,0
0,0,34,0,0,0,0,0
0,0,0,45,0,0,0,0
14,17,0,0,0,2,0,0
0,29,0,0,0,0,0,0
0,8,0,0,73,0,0,0
0,0,0,25,34,0,0,0
0,0,19,13,0,0,0,0
0,0,0,0,0,35,0,0
0,0,0,0,0,0,31,0
0,0,0,0,0,0,0,33
2,21,0,0,0,12,0,0
0,3,0,0,0,0,30,0
0,0,39,0,0,0,0,0
8,7,0,2,36,3,0,0
0,0,0,0,0,0,37,0
0,0,0,0,0,0,0,22
4,0,0,0,0,0,29,0
0,33,0,0,0,0,0,0
0,0,0,6,0,0,36,0
0,0,0,32,0,0,0,0
0,0,0,0,0,26,0,0
0,0,0,0,0,28,0,0
31,0,0,0,0,0,0,0
0,0,0,0,0,0,31,0
0,0,0,0,0,0,29,0
0,0,0,0,0,0,31,0
0,0,0,35,0,0,0,0
0,0,0,0,90,0,0,0
0,0,0,0,0,23,0,0
0,0,0,0,0,24,0,10
0,0,0,0,0,0,0,25
30,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
0,0,37,0,0,0,0,0
0,0,0,27,0,0,0,0
31,1,0,0,0,0,0,0
2,0,29,0,0,0,0,0
0,36,0,0,0,0,0,0
0,32,0,0,0,0,0,0
0,1,0,11,0,2,0,11
0,0,29,0,0,0,0,0
0,0,25,0,0,0,0,0
0,0,0,30,0,0,0,0
0,0,0,30,0,12,0,0
0,0,0,0,0,37,0,0
14,0,0,22,0,0,0,0
9,0,26,0,0,0,0,0
10,0,22,0,0,0,0,0
0,0,30,0,0,0,0,0
0,0,0,0,73,2,0,1
0,0,0,0,0,23,0,0
0,0,31,0,0,0,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,28,0,0
10,0,0,9,0,7,0,0
0,31,0,0,0,0,0,0
0,27,0,0,0,0,0,0
0,0,35,0,0,0,0,0
0,0,34,0,0,0,0,0
0,0,0,34,0,0,0,0
0,0,0,0,0,23,0,0
21,2,0,0,0,0,0,0
1,0,0,26,0,1,0,0
0,34,0,0,0,0,0,0
0,16,0,0,0,0,19,0
0,0,0,29,0,0,0,2
0,0,0,0,0,0,27,0
0,0,0,14,0,0,22,0
0,0,0,0,0,0,0,25
4,0,0,0,0,0,25,0
5,0,0,0,0,0,22,0
5,5,0,0,26,0,11,0
5,14,0,0,0,0,0,0
1,0,0,0,0,0,27,0
