"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,108,0,0,0,0,0,0
0,0,108,0,0,0,0,0
0,0,108,0,0,0,0,0
0,0,0,18,0,0,90,0
0,0,0,0,38,57,0,13
0,0,0,0,0,108,0,0
14,50,0,0,0,0,43,0
32,0,33,0,0,0,42,0
66,41,0,0,0,0,0,0
0,107,0,0,0,0,0,0
0,0,0,0,0,107,0,0
106,0,0,0,0,0,0,0
43,0,45,0,18,0,0,0
11,14,0,52,0,29,0,0
0,106,0,0,0,0,0,0
0,0,106,0,0,0,0,0
0,24,0,0,0,0,81,0
0,0,105,0,0,0,0,0
0,0,105,0,0,0,0,0
0,0,67,0,0,0,38,0
0,0,104,0,0,0,0,0
0,0,0,0,0,104,0,0
0,0,0,0,0,0,0,104
59,0,0,36,0,0,0,8
103,0,0,0,0,0,0,0
0,0,103,0,0,0,0,0
0,0,0,37,27,0,39,0
0,0,0,0,0,0,103,0
43,49,0,0,0,10,0,0
102,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0
0,0,102,0,0,0,0,0
0,0,0,33,0,34,0,35
0,0,0,0,0,102,0,0
0,0,0,0,0,0,102,0
5,19,0,0,37,0,40,0
0,17,0,14,0,0,70,0
0,0,87,0,0,0,0,14
0,0,101,0,0,0,0,0
0,0,101,0,0,0,0,0
0,0,0,0,0,101,0,0
0,0,100,0,0,0,0,0
0,0,100,0,0,0,0,0
0,0,0,0,0,100,0,0
0,0,0,0,0,0,0,100
79,0,0,20,0,0,0,0
5,87,0,7,0,0,0,0
0,0,99,0,0,0,0,0
0,0,75,0,0,0,0,24
0,0,0,9,0,43,47,0
0,0,0,0,0,99,0,0
0,0,0,0,0,0,0,99
0,0,0,0,0,0,0,99
9,0,0,0,0,0,89,0
0,98,0,0,0,0,0,0
0,0,98,0,0,0,0,0
0,0,0,98,0,0,0,0
36,53,0,0,0,8,0,0
0,97,0,0,0,0,0,0
0,22,0,0,75,0,0,0
0,0,0,63,34,0,0,0
0,0,65,31,0,0,0,0
0,0,0,0,0,92,0,4
